sent,Given_label,Predicted_label
Make remainder,Not Found,Make remainder
Set a reminder on date 23rd November'2016,Not Found,Set a
I need a daily wake up call,wake up call,need a daily wake
remind me 6 pm today eveng,Not Found,Not Found
Hi Pls to make one reminder for me,Not Found,Hi Pls
Remind me at 28 December for recharge,recharge,for recharge
Can u help me with reminder..,Not Found,help me with reminder..
Can u pls remind me at 7pm on 8 Jan,on 8 Jan,u pls
What is my next reminder?,What,is my next
Can u please set me an alarm at 7.30 am,Not Found,set me an alarm
Set a reminder on 4 th Dec of going to meet sonal miss at 2:00 pm,meet sonal miss,meet sonal miss
Remind me to purchase shoe polish liquid Date:3 Jan Time:6.30 pm,purchase shoe polish,purchase shoe polish liquid Date:3 Jan Time:6.30
Thanks at least I'll remember my loves birthday this time,my loves birthday,remember my loves
I setd a reminder but it dint remained me,Not Found,setd a
Susan dmello meeting with sujit sir remind him Tomorrow,meeting with sujit sir remind him,with sujit sir
I need to set reminder to msg babbu at 7 in evening,msg babbu,msg babbu
Hi give me a reminder to pay LIC Premium on tonight 9 PM,pay LIC Premium,give me a
3 alarms 7:15 am 7:30 am 7:45 am,Not Found,Not Found
Daily,Not Found,Not Found
Remind me to go to bank at 11 am today,go to bank,Not Found
Remind me to buy eggs on next Monday and Tuesday at 9pm,buy eggs,buy eggs
Please remind me for internal audit review meeting at 12.45 today,internal audit review meeting,me for internal audit review meeting
One more reminder I have,Not Found,Not Found
Evening 5 o'clock,Not Found,Not Found
Remind me of SBI card payment of rs 4465 by 04/12/16 11am,SBI card payment of rs 4465,me of SBI
Unsubscribe me from all the reminder,Not Found,Not Found
Thanks for reminding 🙏🙏🙏,Not Found,reminding 🙏🙏🙏
And a reminder tomorrow at 11.30 am to go through basic codings and share markets.,go through basic codings and share markets,go through basic codings
Need all reminders list from starting till now,Not Found,Need all reminders
Hi can u please set a reminder for me at 2pm,Not Found,set a
I want reminder before 10 mins..,Not Found,Not Found
Hii. Can you set alarm at 11pm,Hii. Can you set alarm,set alarm
Please remind me on Tuesday that I have an appointment at YLG for hair spa at 4.15,I have an appointment and hair spa,have an appointment
19th December Tejas birthday,Not Found,December Tejas birthday
Can you remind me when i am offline,Not Found,Not Found
Date of 26,Not Found,Not Found
Shradha can u remind me at 5:30,Not Found,Not Found
Can you please remind me to fill a file at 9 pm today,fill a file,fill a file
Remind to work on design qualification documents,work on design qualification documents,work on design qualification documents
N please remind me to send pics to Rajeshwari in the first week of Jan,send pics to Rajeshwari,in the first week
10 pm jhalak reminder,Not Found,Not Found
Shall I get 2 calls or 1call in the morning?,Not Found,in the morning
Remind me at 5:15pm today,Not Found,Not Found
Remind me for a work,a work,me for a work
